game_id,season,date
5439,2015/2016,15.10.2015
5463,2015/2016,16.10.2015
5416,2015/2016,17.10.2015
5365,2015/2016,18.10.2015
5451,2015/2016,19.10.2015
5428,2015/2016,19.10.2015
5377,2015/2016,21.10.2015
5389,2015/2016,21.10.2015
5366,2015/2016,21.10.2015
5497,2015/2016,21.10.2015
5474,2015/2016,28.10.2015
5485,2015/2016,18.11.2015
5412,2015/2016,23.10.2015
5401,2015/2016,24.10.2015
5405,2015/2016,24.10.2015
5407,2015/2016,25.10.2015
5410,2015/2016,26.10.2015
5409,2015/2016,26.10.2015
5414,2015/2016,31.10.2015
5417,2015/2016,31.10.2015
5418,2015/2016,31.10.2015
5419,2015/2016,31.10.2015
5421,2015/2016,31.10.2015
5420,2015/2016,31.10.2015
5422,2015/2016,04.11.2015
5424,2015/2016,04.11.2015
5426,2015/2016,04.11.2015
5429,2015/2016,04.11.2015
5425,2015/2016,04.11.2015
5423,2015/2016,04.11.2015
5431,2015/2016,07.11.2015
5435,2015/2016,08.11.2015
5434,2015/2016,08.11.2015
5433,2015/2016,08.11.2015
5430,2015/2016,09.11.2015
5432,2015/2016,09.11.2015
5436,2015/2016,14.11.2015
5437,2015/2016,14.11.2015
5441,2015/2016,14.11.2015
5442,2015/2016,14.11.2015
5438,2015/2016,15.11.2015
5440,2015/2016,16.11.2015
5446,2015/2016,18.11.2015
5448,2015/2016,19.11.2015
5444,2015/2016,21.11.2015
5443,2015/2016,22.11.2015
5445,2015/2016,22.11.2015
5447,2015/2016,23.11.2015
5454,2015/2016,27.11.2015
5449,2015/2016,28.11.2015
5455,2015/2016,28.11.2015
5452,2015/2016,28.11.2015
5453,2015/2016,28.11.2015
5456,2015/2016,29.11.2015
5457,2015/2016,02.12.2015
5458,2015/2016,02.12.2015
5459,2015/2016,02.12.2015
5460,2015/2016,02.12.2015
5461,2015/2016,02.12.2015
5464,2015/2016,02.12.2015
5470,2015/2016,04.12.2015
5468,2015/2016,05.12.2015
5469,2015/2016,05.12.2015
5467,2015/2016,06.12.2015
5465,2015/2016,07.12.2015
5466,2015/2016,07.12.2015
5471,2015/2016,12.12.2015
5476,2015/2016,12.12.2015
5473,2015/2016,13.12.2015
5472,2015/2016,13.12.2015
5477,2015/2016,14.12.2015
5475,2015/2016,14.12.2015
5478,2015/2016,27.01.2016
5480,2015/2016,03.02.2016
5481,2015/2016,03.02.2016
5483,2015/2016,03.02.2016
5479,2015/2016,03.02.2016
5482,2015/2016,03.02.2016
5487,2015/2016,14.01.2016
5486,2015/2016,15.01.2016
5489,2015/2016,16.01.2016
5484,2015/2016,16.01.2016
5488,2015/2016,16.01.2016
5490,2015/2016,17.01.2016
5494,2015/2016,23.01.2016
5498,2015/2016,23.01.2016
5491,2015/2016,23.01.2016
5492,2015/2016,23.01.2016
5495,2015/2016,24.01.2016
5493,2015/2016,25.01.2016
5500,2015/2016,30.01.2016
5499,2015/2016,30.01.2016
5502,2015/2016,30.01.2016
5504,2015/2016,30.01.2016
5501,2015/2016,30.01.2016
5503,2015/2016,31.01.2016
5368,2015/2016,06.02.2016
5506,2015/2016,06.02.2016
5367,2015/2016,06.02.2016
5369,2015/2016,07.02.2016
5505,2015/2016,08.02.2016
5507,2015/2016,08.02.2016
5375,2015/2016,12.02.2016
5370,2015/2016,13.02.2016
5374,2015/2016,13.02.2016
5371,2015/2016,14.02.2016
5372,2015/2016,14.02.2016
5373,2015/2016,15.02.2016
5378,2015/2016,20.02.2016
5379,2015/2016,21.02.2016
5380,2015/2016,21.02.2016
5376,2015/2016,22.02.2016
5381,2015/2016,22.02.2016
5382,2015/2016,02.03.2016
5383,2015/2016,26.02.2016
5387,2015/2016,27.02.2016
5384,2015/2016,27.02.2016
5390,2015/2016,27.02.2016
5386,2015/2016,28.02.2016
5385,2015/2016,29.02.2016
5394,2015/2016,05.03.2016
5393,2015/2016,05.03.2016
5392,2015/2016,05.03.2016
5395,2015/2016,05.03.2016
5396,2015/2016,06.03.2016
5391,2015/2016,07.03.2016
5399,2015/2016,11.03.2016
5397,2015/2016,12.03.2016
5402,2015/2016,12.03.2016
5404,2015/2016,12.03.2016
5403,2015/2016,13.03.2016
5398,2015/2016,14.03.2016
5541,2015/2016,19.03.2016
5545,2015/2016,23.03.2016
5542,2015/2016,08.04.2016
5546,2015/2016,11.04.2016
5547,2015/2016,15.04.2016
5548,2015/2016,19.03.2016
5551,2015/2016,21.03.2016
5552,2015/2016,09.04.2016
5549,2015/2016,09.04.2016
5554,2015/2016,19.03.2016
5556,2015/2016,20.03.2016
5557,2015/2016,24.03.2016
5555,2015/2016,08.04.2016
5559,2015/2016,25.03.2016
5558,2015/2016,09.04.2016
5560,2015/2016,19.04.2016
5561,2015/2016,20.04.2016
5562,2015/2016,28.04.2016
5565,2015/2016,22.04.2016
5566,2015/2016,23.04.2016
5567,2015/2016,28.04.2016
5570,2015/2016,23.04.2016
5573,2015/2016,28.04.2016
5576,2015/2016,22.04.2016
5577,2015/2016,29.04.2016
5579,2015/2016,23.04.2016
5580,2015/2016,28.04.2016
5581,2015/2016,29.04.2016
5571,2015/2016,23.04.2016
5572,2015/2016,28.04.2016
5575,2015/2016,29.04.2016
5984,2016/2017,15.10.2016
5995,2016/2017,15.10.2016
5846,2016/2017,15.10.2016
5951,2016/2017,16.10.2016
5940,2016/2017,16.10.2016
5962,2016/2017,17.10.2016
5973,2016/2017,18.10.2016
5880,2016/2017,22.10.2016
5847,2016/2017,22.10.2016
5869,2016/2017,22.10.2016
6017,2016/2017,22.10.2016
5858,2016/2017,23.10.2016
6006,2016/2017,23.10.2016
5891,2016/2017,24.10.2016
5939,2016/2017,28.10.2016
5902,2016/2017,29.10.2016
5924,2016/2017,29.10.2016
5941,2016/2017,29.10.2016
5942,2016/2017,29.10.2016
5913,2016/2017,31.10.2016
5935,2016/2017,31.10.2016
5946,2016/2017,05.11.2016
5944,2016/2017,05.11.2016
5945,2016/2017,06.11.2016
5949,2016/2017,06.11.2016
5943,2016/2017,06.11.2016
5947,2016/2017,07.11.2016
5948,2016/2017,08.11.2016
5954,2016/2017,12.11.2016
5956,2016/2017,12.11.2016
5950,2016/2017,13.11.2016
5955,2016/2017,13.11.2016
5957,2016/2017,13.11.2016
5953,2016/2017,14.11.2016
5952,2016/2017,24.11.2016
5961,2016/2017,17.11.2016
5960,2016/2017,19.11.2016
5964,2016/2017,19.11.2016
5959,2016/2017,19.11.2016
5963,2016/2017,20.11.2016
5958,2016/2017,20.11.2016
5965,2016/2017,21.11.2016
5971,2016/2017,25.11.2016
5968,2016/2017,26.11.2016
5967,2016/2017,26.11.2016
5970,2016/2017,26.11.2016
5969,2016/2017,27.11.2016
5966,2016/2017,27.11.2016
5972,2016/2017,28.11.2016
5974,2016/2017,30.11.2016
5975,2016/2017,30.11.2016
5976,2016/2017,30.11.2016
5978,2016/2017,30.11.2016
5979,2016/2017,30.11.2016
5980,2016/2017,30.11.2016
5977,2016/2017,30.11.2016
5982,2016/2017,03.12.2016
5986,2016/2017,03.12.2016
5987,2016/2017,03.12.2016
5981,2016/2017,03.12.2016
5985,2016/2017,04.12.2016
5988,2016/2017,04.12.2016
5983,2016/2017,04.12.2016
5991,2016/2017,07.12.2016
5992,2016/2017,07.12.2016
5993,2016/2017,07.12.2016
5994,2016/2017,07.12.2016
5996,2016/2017,07.12.2016
5989,2016/2017,07.12.2016
5990,2016/2017,15.12.2016
5997,2016/2017,10.12.2016
5999,2016/2017,10.12.2016
6001,2016/2017,10.12.2016
6002,2016/2017,10.12.2016
5998,2016/2017,11.12.2016
6000,2016/2017,11.12.2016
6003,2016/2017,12.12.2016
6011,2016/2017,17.12.2016
6005,2016/2017,17.12.2016
6008,2016/2017,17.12.2016
6004,2016/2017,18.12.2016
6007,2016/2017,18.12.2016
6009,2016/2017,18.12.2016
6010,2016/2017,19.12.2016
6012,2016/2017,22.12.2016
6015,2016/2017,22.12.2016
6014,2016/2017,23.12.2016
6016,2016/2017,23.12.2016
6013,2016/2017,23.12.2016
