game_id,season,team_A,team_B,czy_playoff,sets_A,sets_B,number_of_sets,win_A,A_scoreboard_points,B_scoreboard_points,match_total_points,A_set1_points,B_set1_points,A_set2_points,B_set2_points,A_set3_points,B_set3_points,A_set4_points,B_set4_points,A_set5_points,B_set5_points,A_pts_total,A_pts_bp,A_pts_balance,A_srv_total,A_srv_errors,A_srv_aces,A_rec_total,A_rec_errors,A_rec_pos_pct,A_rec_perf_pct,A_atk_total,A_atk_errors,A_atk_blocked,A_atk_points,A_atk_success_pct,A_blk_points,A_actions,A_srv_eff,A_atk_eff,A_blk_share_skill,A_blk_share_impact,A_srv_share_skill,A_srv_share_impact,A_errors_total,A_opp_errors_pts,A_opp_errors_share,A_defense_total,A_pts_rolling3,A_errors_rolling3,A_matches_before,A_win_rate_prev,A_win_rate_last5,A_pts_prev_all,A_errors_prev_all,A_atk_eff_prev_all,A_win_streak_prev3,B_pts_total,B_pts_bp,B_pts_balance,B_srv_total,B_srv_errors,B_srv_aces,B_rec_total,B_rec_errors,B_rec_pos_pct,B_rec_perf_pct,B_atk_total,B_atk_errors,B_atk_blocked,B_atk_points,B_atk_success_pct,B_blk_points,B_actions,B_srv_eff,B_atk_eff,B_blk_share_skill,B_blk_share_impact,B_srv_share_skill,B_srv_share_impact,B_errors_total,B_opp_errors_pts,B_opp_errors_share,B_defense_total,B_pts_rolling3,B_errors_rolling3,B_matches_before,B_win_rate_prev,B_win_rate_last5,B_pts_prev_all,B_errors_prev_all,B_atk_eff_prev_all,B_win_streak_prev3,diff_pts_total,diff_pts_bp,diff_pts_balance,diff_srv_total,diff_srv_errors,diff_srv_aces,diff_rec_total,diff_rec_errors,diff_rec_pos_pct,diff_rec_perf_pct,diff_atk_total,diff_atk_errors,diff_atk_blocked,diff_atk_points,diff_atk_success_pct,diff_blk_points,diff_srv_eff,diff_atk_eff,diff_blk_share_skill,diff_blk_share_impact,diff_srv_share_skill,diff_srv_share_impact,diff_errors_total,diff_opp_errors_pts,diff_opp_errors_share,diff_defense_total,diff_pts_rolling3,diff_errors_rolling3,diff_matches_before,diff_win_rate_prev,diff_win_rate_last5,diff_pts_prev_all,diff_errors_prev_all,diff_atk_eff_prev_all,diff_win_streak_prev3,h2h_matches_before,h2h_win_rate_A,h2h_last_result_A,h2h_matches_before_all,h2h_win_rate_A_all,h2h_last_result_A_all
5365,2015/2016,Chemik Police,Pałac Bydgoszcz,0,3,0,3,1,75,48,123,25,14,25,18,25,16,,,,,60,32,60,73,8,4,41,4,49,12,85,3,5,40,47,16,199,-0.0547945205479452,0.3764705882352941,0.26666666666666666,0.21333333333333335,0.06666666666666667,0.05333333333333334,15,15,0.2,46,,,0,,,,,,,36,9,36,50,9,4,65,4,49,8,85,2,16,27,32,5,200,-0.1,0.10588235294117647,0.1388888888888889,0.10416666666666667,0.1111111111111111,0.08333333333333333,15,12,0.25,81,,,0,,,,,,,24,23,24,23,-1,0,-24,0,0,4,0,1,-11,13,15,11,0.0452054794520548,0.27058823529411763,0.12777777777777777,0.10916666666666668,-0.04444444444444444,-0.029999999999999992,0,3,-0.04999999999999999,-35,,,0,,,,,,,0,0.5,0.5,0,0.5,0.5
5366,2015/2016,PTPS Piła,Volley Wrocław,0,1,3,4,0,85,98,183,23,25,25,23,20,25,17.0,25.0,,,54,23,54,85,6,3,88,16,53,21,147,8,8,43,29,8,320,-0.03529411764705882,0.1836734693877551,0.14814814814814814,0.09411764705882353,0.05555555555555555,0.03529411764705882,30,31,0.36470588235294116,96,,,0,,,,,,,79,37,79,97,9,8,79,6,49,11,169,13,8,63,37,8,345,-0.010309278350515464,0.2485207100591716,0.10126582278481013,0.08163265306122448,0.10126582278481013,0.08163265306122448,28,19,0.19387755102040816,87,,,0,,,,,,,-25,-14,-25,-12,-3,-5,9,10,4,10,-22,-5,0,-20,-8,2,-0.02498483929654336,-0.06484724067141648,0.046882325363338015,0.012484993997599045,-0.04571026722925457,-0.04633853541416566,2,12,0.170828331332533,9,,,0,,,,,,,0,0.5,0.5,0,0.5,0.5
5367,2015/2016,Legionovia,Chemik Police,0,0,3,3,0,49,75,124,12,25,19,25,18,25,,,,,29,10,29,50,5,2,64,3,29,11,85,8,10,21,25,6,199,-0.06,0.03529411764705882,0.20689655172413793,0.12244897959183673,0.06896551724137931,0.04081632653061224,16,20,0.40816326530612246,74,,,0,,,,,,,56,30,56,74,10,3,45,2,38,29,97,7,6,43,44,10,216,-0.0945945945945946,0.30927835051546393,0.17857142857142858,0.13333333333333333,0.05357142857142857,0.04,19,19,0.25333333333333335,51,,,1,1.0,1.0,60.0,15.0,0.3764705882352941,1.0,-27,-20,-27,-24,-5,-1,19,1,-9,-18,-12,1,4,-22,-19,-4,0.0345945945945946,-0.2739842328684051,0.028325123152709353,-0.0108843537414966,0.015394088669950741,0.0008163265306122408,-3,1,0.1548299319727891,23,,,-1,,,,,,,0,0.5,0.5,0,0.5,0.5
5368,2015/2016,MKS Dąbrowa Górnicza,Atom Trefl Sopot,0,2,3,5,0,102,110,212,27,25,23,25,13,25,25.0,19.0,14.0,16.0,76,31,76,102,16,6,98,12,33,14,161,8,7,62,39,8,361,-0.09803921568627451,0.2919254658385093,0.10526315789473684,0.0784313725490196,0.07894736842105263,0.058823529411764705,36,26,0.2549019607843137,105,,,0,,,,,,,77,37,77,110,12,12,86,6,41,23,159,11,8,58,36,7,355,0.0,0.24528301886792453,0.09090909090909091,0.06363636363636363,0.15584415584415584,0.10909090909090909,29,33,0.3,94,,,0,,,,,,,-1,-6,-1,-8,4,-6,12,6,-8,-9,2,-3,-1,4,3,1,-0.09803921568627451,0.04664244697058478,0.014354066985645925,0.014795008912655977,-0.07689678742310321,-0.05026737967914438,7,-7,-0.04509803921568628,11,,,0,,,,,,,0,0.5,0.5,0,0.5,0.5
5369,2015/2016,Volley Wrocław,Muszynianka Muszyna,0,3,0,3,1,76,60,136,26,24,25,21,25,15,,,,,56,30,56,74,8,5,53,3,51,22,89,6,5,39,44,12,216,-0.04054054054054054,0.3146067415730337,0.21428571428571427,0.15789473684210525,0.08928571428571429,0.06578947368421052,17,20,0.2631578947368421,58,,,1,1.0,1.0,79.0,28.0,0.2485207100591716,1.0,39,16,39,60,7,3,66,5,45,27,103,10,12,31,30,5,229,-0.06666666666666667,0.08737864077669903,0.1282051282051282,0.08333333333333333,0.07692307692307693,0.05,22,21,0.35,78,,,0,,,,,,,17,14,17,14,1,2,-13,-2,6,-5,-14,-4,-7,8,14,7,0.026126126126126123,0.22722810079633465,0.08608058608058608,0.07456140350877193,0.01236263736263736,0.01578947368421052,-5,-1,-0.08684210526315789,-20,,,1,,,,,,,0,0.5,0.5,0,0.5,0.5
5370,2015/2016,Pałac Bydgoszcz,Volley Wrocław,0,0,3,3,0,57,77,134,17,25,25,27,15,25,,,,,37,14,37,58,4,4,69,7,40,22,109,8,13,28,26,5,236,0.0,0.06422018348623854,0.13513513513513514,0.08771929824561403,0.10810810810810811,0.07017543859649122,19,20,0.3508771929824561,82,,,1,0.0,0.0,36.0,15.0,0.10588235294117647,0.0,60,32,60,76,7,7,54,4,43,24,112,9,5,40,36,13,242,0.0,0.23214285714285715,0.21666666666666667,0.16883116883116883,0.11666666666666667,0.09090909090909091,20,17,0.22077922077922077,59,79.0,28.0,2,1.0,1.0,67.5,22.5,0.2815637258161027,1.0,-23,-18,-23,-18,-3,-3,15,3,-3,-2,-3,-1,8,-12,-10,-8,0.0,-0.16792267365661862,-0.08153153153153153,-0.0811118705855548,-0.008558558558558554,-0.020733652312599687,-1,3,0.13009797220323535,23,,,-1,-1.0,-1.0,-31.5,-7.5,-0.1756813728749262,-1.0,0,0.5,0.5,0,0.5,0.5
5371,2015/2016,Muszynianka Muszyna,MKS Dąbrowa Górnicza,0,3,0,3,1,77,62,139,25,19,27,25,25,18,,,,,59,31,59,75,8,7,53,6,30,19,86,3,4,46,53,6,214,-0.013333333333333334,0.45348837209302323,0.1016949152542373,0.07792207792207792,0.11864406779661017,0.09090909090909091,17,18,0.23376623376623376,57,,,1,0.0,0.0,39.0,22.0,0.08737864077669903,0.0,48,21,48,64,11,6,67,7,36,15,94,7,6,38,40,4,225,-0.078125,0.26595744680851063,0.08333333333333333,0.06451612903225806,0.125,0.0967741935483871,25,14,0.22580645161290322,73,,,1,0.0,0.0,76.0,36.0,0.2919254658385093,0.0,11,10,11,11,-3,1,-14,-1,-6,4,-8,-4,-2,8,13,2,0.06479166666666666,0.1875309252845126,0.018361581920903966,0.013405948889819858,-0.0063559322033898275,-0.0058651026392961825,-8,4,0.007959782153330541,-16,,,0,0.0,0.0,-37.0,-14.0,-0.20454682506181027,0.0,0,0.5,0.5,0,0.5,0.5
5372,2015/2016,Atom Trefl Sopot,Legionovia,0,3,0,3,1,75,61,136,25,23,25,20,25,18,,,,,51,26,51,74,5,5,57,7,44,26,90,5,7,33,37,13,221,0.0,0.23333333333333334,0.2549019607843137,0.17333333333333334,0.09803921568627451,0.06666666666666667,17,24,0.32,64,,,1,1.0,1.0,77.0,29.0,0.24528301886792453,1.0,47,21,47,62,5,7,69,5,40,20,98,16,13,33,34,7,229,0.03225806451612903,0.04081632653061224,0.14893617021276595,0.11475409836065574,0.14893617021276595,0.11475409836065574,26,14,0.22950819672131148,82,,,1,0.0,0.0,29.0,16.0,0.03529411764705882,0.0,4,5,4,12,0,-2,-12,2,4,6,-8,-11,-6,0,3,6,-0.03225806451612903,0.1925170068027211,0.10596579057154776,0.0585792349726776,-0.05089695452649144,-0.048087431693989074,-9,10,0.09049180327868853,-18,,,0,1.0,1.0,48.0,13.0,0.20998890122086572,1.0,0,0.5,0.5,0,0.5,0.5
5373,2015/2016,Chemik Police,Budowlani Łódź,0,3,0,3,1,75,50,125,25,19,25,17,25,14,,,,,57,29,57,74,13,6,41,2,44,9,73,2,4,43,59,8,188,-0.0945945945945946,0.5068493150684932,0.14035087719298245,0.10666666666666667,0.10526315789473684,0.08,17,18,0.24,45,60.0,15.0,2,1.0,1.0,58.0,17.0,0.342874469375379,1.0,33,11,33,51,10,2,61,6,59,31,74,8,8,27,36,4,186,-0.1568627450980392,0.14864864864864866,0.12121212121212122,0.08,0.06060606060606061,0.04,24,17,0.34,69,,,0,,,,,,,24,18,24,23,3,4,-20,-4,-15,-22,-1,-6,-4,16,23,4,0.062268150503444614,0.3582006664198445,0.019138755980861233,0.026666666666666672,0.04465709728867623,0.04,-7,1,-0.10000000000000003,-24,,,2,,,,,,,0,0.5,0.5,0,0.5,0.5
5374,2015/2016,Developres Rzeszów,BKS Bielsko-Biała,0,3,0,3,1,75,44,119,25,16,25,13,25,15,,,,,63,35,63,74,5,3,40,2,45,20,81,7,4,46,57,14,195,-0.02702702702702703,0.43209876543209874,0.2222222222222222,0.18666666666666668,0.047619047619047616,0.04,14,12,0.16,44,,,0,,,,,,,30,7,30,45,5,2,69,3,35,17,96,7,14,24,25,4,210,-0.06666666666666667,0.03125,0.13333333333333333,0.09090909090909091,0.06666666666666667,0.045454545454545456,15,14,0.3181818181818182,83,,,0,,,,,,,33,28,33,29,0,1,-29,-1,10,3,-15,0,-10,22,32,10,0.03963963963963964,0.40084876543209874,0.08888888888888888,0.09575757575757576,-0.01904761904761905,-0.005454545454545455,-1,-2,-0.15818181818181817,-39,,,0,,,,,,,0,0.5,0.5,0,0.5,0.5
