game_id,season,team_A,team_B,match_type,sets_A,sets_B,win_A,A_pts_total,A_pts_bp,A_pts_balance,A_srv_total,A_srv_errors,A_srv_aces,A_rec_total,A_rec_errors,A_rec_pos_pct,A_rec_perf_pct,A_atk_total,A_atk_errors,A_atk_blocked,A_atk_points,A_atk_success_pct,A_blk_points,B_pts_total,B_pts_bp,B_pts_balance,B_srv_total,B_srv_errors,B_srv_aces,B_rec_total,B_rec_errors,B_rec_pos_pct,B_rec_perf_pct,B_atk_total,B_atk_errors,B_atk_blocked,B_atk_points,B_atk_success_pct,B_blk_points,diff_pts_total,diff_pts_bp,diff_pts_balance,diff_srv_total,diff_srv_errors,diff_srv_aces,diff_rec_total,diff_rec_errors,diff_rec_pos_pct,diff_rec_perf_pct,diff_atk_total,diff_atk_errors,diff_atk_blocked,diff_atk_points,diff_atk_success_pct,diff_blk_points,A_srv_eff,B_srv_eff,diff_srv_eff,A_atk_eff,B_atk_eff,diff_atk_eff,A_blk_share,B_blk_share,diff_blk_share,A_srv_share,B_srv_share,diff_srv_share,A_errors_total,B_errors_total,diff_errors_total,A_scoreboard_points,B_scoreboard_points,match_total_points,A_errors_rate,B_errors_rate,diff_errors_rate,A_rec_quality_gap,B_rec_quality_gap,diff_rec_quality_gap,sets_sum,loser_sets,A_pts_per_set,B_pts_per_set,diff_pts_per_set,A_scoreboard_pts_per_set,B_scoreboard_pts_per_set,diff_scoreboard_pts_per_set,match_avg_points_per_set,A_errors_per_set,B_errors_per_set,diff_errors_per_set,A_srv_success_pct,B_srv_success_pct,diff_srv_success_pct,A_defense_total,B_defense_total,diff_defense_total,A_pts_rolling3,A_errors_rolling3,A_pts_per_set_rolling3,A_errors_per_set_rolling3,B_pts_rolling3,B_errors_rolling3,B_pts_per_set_rolling3,B_errors_per_set_rolling3,diff_pts_rolling3,diff_errors_rolling3,diff_pts_per_set_rolling3,diff_errors_per_set_rolling3,czy_playoff,A_matches_before,A_win_rate_prev,A_win_rate_last5,A_pts_prev_all,A_errors_prev_all,A_atk_eff_prev_all,A_win_streak_prev3,B_matches_before,B_win_rate_prev,B_win_rate_last5,B_pts_prev_all,B_errors_prev_all,B_atk_eff_prev_all,B_win_streak_prev3,diff_matches_before,diff_win_rate_prev,diff_win_rate_last5,diff_pts_prev_all,diff_errors_prev_all,diff_atk_eff_prev_all,diff_win_streak_prev3,h2h_matches_before,h2h_win_rate_A,h2h_last_result_A,h2h_matches_before_all,h2h_win_rate_A_all,h2h_last_result_A_all
5365,2015/2016,Chemik Police,Pałac Bydgoszcz,3:0,3,0,1,60,32,60,73,8,4,41,4,49,12,85,3,5,40,47,16,36,9,36,50,9,4,65,4,49,8,85,2,16,27,32,5,24,23,24,23,-1,0,-24,0,0,4,0,1,-11,13,15,11,0.5,0.4444444444444444,0.05555555555555558,0.3764705882352941,0.10588235294117647,0.27058823529411763,0.26666666666666666,0.1388888888888889,0.12777777777777777,0.06666666666666667,0.1111111111111111,-0.04444444444444444,15,15,0,75,51,126,0.07537688442211055,0.075,0.00037688442211054884,-37,-41,4,3,0,20.0,12.0,8.0,25.0,17.0,8.0,42.0,5.0,5.0,0.0,5.47945205479452,8.0,-2.5205479452054798,46,81,-35,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,0.5,0.5,0,0.5,0.5
5366,2015/2016,PTPS Piła,Volley Wrocław,3:1,1,3,0,54,23,54,85,6,3,88,16,53,21,147,8,8,43,29,8,79,37,79,97,9,8,79,6,49,11,169,13,8,63,37,8,-25,-14,-25,-12,-3,-5,9,10,4,10,-22,-5,0,-20,-8,2,0.5,0.8888888888888888,-0.38888888888888884,0.1836734693877551,0.2485207100591716,-0.06484724067141648,0.14814814814814814,0.10126582278481013,0.046882325363338015,0.05555555555555555,0.10126582278481013,-0.04571026722925457,30,28,2,82,109,191,0.09375,0.08115942028985507,0.012590579710144933,-32,-38,6,4,1,13.5,19.75,-6.25,20.5,27.25,-6.75,47.75,7.5,7.0,0.5,3.5294117647058822,8.24742268041237,-4.718010915706488,96,87,9,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,0.5,0.5,0,0.5,0.5
5367,2015/2016,Legionovia,Chemik Police,3:0,0,3,0,29,10,29,50,5,2,64,3,29,11,85,8,10,21,25,6,56,30,56,74,10,3,45,2,38,29,97,7,6,43,44,10,-27,-20,-27,-24,-5,-1,19,1,-9,-18,-12,1,4,-22,-19,-4,0.4,0.3,0.10000000000000003,0.03529411764705882,0.30927835051546393,-0.2739842328684051,0.20689655172413793,0.17857142857142858,0.028325123152709353,0.06896551724137931,0.05357142857142857,0.015394088669950741,16,19,-3,48,72,120,0.08040201005025126,0.08796296296296297,-0.0075609529127117076,-18,-9,-9,3,0,9.666666666666666,18.666666666666668,-9.000000000000002,16.0,24.0,-8.0,40.0,5.333333333333333,6.333333333333333,-1.0,4.0,4.054054054054054,-0.05405405405405439,74,51,23,,,,,,,,,,,,,0,0,,,,,,,1,1.0,1.0,60.0,15.0,0.3764705882352941,1.0,-1,,,,,,,0,0.5,0.5,0,0.5,0.5
5368,2015/2016,MKS Dąbrowa Górnicza,Atom Trefl Sopot,3:2,2,3,0,76,31,76,102,16,6,98,12,33,14,161,8,7,62,39,8,77,37,77,110,12,12,86,6,41,23,159,11,8,58,36,7,-1,-6,-1,-8,4,-6,12,6,-8,-9,2,-3,-1,4,3,1,0.375,1.0,-0.625,0.2919254658385093,0.24528301886792453,0.04664244697058478,0.10526315789473684,0.09090909090909091,0.014354066985645925,0.07894736842105263,0.15584415584415584,-0.07689678742310321,36,29,7,105,113,218,0.0997229916897507,0.08169014084507042,0.018032850844680273,-19,-18,-1,5,2,15.2,15.4,-0.20000000000000107,21.0,22.6,-1.6000000000000014,43.6,7.2,5.8,1.4000000000000004,5.88235294117647,10.909090909090908,-5.026737967914438,105,94,11,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,0.5,0.5,0,0.5,0.5
5369,2015/2016,Volley Wrocław,Muszynianka Muszyna,3:0,3,0,1,56,30,56,74,8,5,53,3,51,22,89,6,5,39,44,12,39,16,39,60,7,3,66,5,45,27,103,10,12,31,30,5,17,14,17,14,1,2,-13,-2,6,-5,-14,-4,-7,8,14,7,0.625,0.42857142857142855,0.19642857142857145,0.3146067415730337,0.08737864077669903,0.22722810079633465,0.21428571428571427,0.1282051282051282,0.08608058608058608,0.08928571428571429,0.07692307692307693,0.01236263736263736,17,22,-5,78,56,134,0.0787037037037037,0.09606986899563319,-0.017366165291929483,-29,-18,-11,3,0,18.666666666666668,13.0,5.666666666666668,26.0,18.666666666666668,7.333333333333332,44.666666666666664,5.666666666666667,7.333333333333333,-1.666666666666666,6.756756756756757,5.0,1.756756756756757,58,78,-20,,,,,,,,,,,,,0,1,1.0,1.0,79.0,28.0,0.2485207100591716,1.0,0,,,,,,,1,,,,,,,0,0.5,0.5,0,0.5,0.5
5370,2015/2016,Pałac Bydgoszcz,Volley Wrocław,3:0,0,3,0,37,14,37,58,4,4,69,7,40,22,109,8,13,28,26,5,60,32,60,76,7,7,54,4,43,24,112,9,5,40,36,13,-23,-18,-23,-18,-3,-3,15,3,-3,-2,-3,-1,8,-12,-10,-8,1.0,1.0,0.0,0.06422018348623854,0.23214285714285715,-0.16792267365661862,0.13513513513513514,0.21666666666666667,-0.08153153153153153,0.10810810810810811,0.11666666666666667,-0.008558558558558554,19,20,-1,57,79,136,0.08050847457627118,0.08264462809917356,-0.002136153522902376,-18,-19,1,3,0,12.333333333333334,20.0,-7.666666666666666,19.0,26.333333333333332,-7.333333333333332,45.333333333333336,6.333333333333333,6.666666666666667,-0.3333333333333339,6.896551724137931,9.210526315789473,-2.313974591651542,82,59,23,,,,,79.0,28.0,19.75,7.0,,,,,0,1,0.0,0.0,36.0,15.0,0.10588235294117647,0.0,2,1.0,1.0,67.5,22.5,0.2815637258161027,1.0,-1,-1.0,-1.0,-31.5,-7.5,-0.1756813728749262,-1.0,0,0.5,0.5,0,0.5,0.5
5371,2015/2016,Muszynianka Muszyna,MKS Dąbrowa Górnicza,3:0,3,0,1,59,31,59,75,8,7,53,6,30,19,86,3,4,46,53,6,48,21,48,64,11,6,67,7,36,15,94,7,6,38,40,4,11,10,11,11,-3,1,-14,-1,-6,4,-8,-4,-2,8,13,2,0.875,0.5454545454545454,0.3295454545454546,0.45348837209302323,0.26595744680851063,0.1875309252845126,0.1016949152542373,0.08333333333333333,0.018361581920903966,0.11864406779661017,0.125,-0.0063559322033898275,17,25,-8,84,65,149,0.0794392523364486,0.1111111111111111,-0.03167185877466251,-11,-21,10,3,0,19.666666666666668,16.0,3.666666666666668,28.0,21.666666666666668,6.333333333333332,49.666666666666664,5.666666666666667,8.333333333333334,-2.666666666666667,9.333333333333334,9.375,-0.041666666666666075,57,73,-16,,,,,,,,,,,,,0,1,0.0,0.0,39.0,22.0,0.08737864077669903,0.0,1,0.0,0.0,76.0,36.0,0.2919254658385093,0.0,0,0.0,0.0,-37.0,-14.0,-0.20454682506181027,0.0,0,0.5,0.5,0,0.5,0.5
5372,2015/2016,Atom Trefl Sopot,Legionovia,3:0,3,0,1,51,26,51,74,5,5,57,7,44,26,90,5,7,33,37,13,47,21,47,62,5,7,69,5,40,20,98,16,13,33,34,7,4,5,4,12,0,-2,-12,2,4,6,-8,-11,-6,0,3,6,1.0,1.4,-0.3999999999999999,0.23333333333333334,0.04081632653061224,0.1925170068027211,0.2549019607843137,0.14893617021276595,0.10596579057154776,0.09803921568627451,0.14893617021276595,-0.05089695452649144,17,26,-9,77,64,141,0.07692307692307693,0.11353711790393013,-0.036614040980853205,-18,-20,2,3,0,17.0,15.666666666666666,1.333333333333334,25.666666666666668,21.333333333333332,4.333333333333336,47.0,5.666666666666667,8.666666666666666,-2.999999999999999,6.756756756756757,11.29032258064516,-4.533565823888403,64,82,-18,,,,,,,,,,,,,0,1,1.0,1.0,77.0,29.0,0.24528301886792453,1.0,1,0.0,0.0,29.0,16.0,0.03529411764705882,0.0,0,1.0,1.0,48.0,13.0,0.20998890122086572,1.0,0,0.5,0.5,0,0.5,0.5
5373,2015/2016,Chemik Police,Budowlani Łódź,3:0,3,0,1,57,29,57,74,13,6,41,2,44,9,73,2,4,43,59,8,33,11,33,51,10,2,61,6,59,31,74,8,8,27,36,4,24,18,24,23,3,4,-20,-4,-15,-22,-1,-6,-4,16,23,4,0.46153846153846156,0.2,0.26153846153846155,0.5068493150684932,0.14864864864864866,0.3582006664198445,0.14035087719298245,0.12121212121212122,0.019138755980861233,0.10526315789473684,0.06060606060606061,0.04465709728867623,17,24,-7,81,50,131,0.09042553191489362,0.12903225806451613,-0.0386067261496225,-35,-28,-7,3,0,19.0,11.0,8.0,27.0,16.666666666666668,10.333333333333332,43.666666666666664,5.666666666666667,8.0,-2.333333333333333,8.108108108108109,3.9215686274509802,4.186539480657128,45,69,-24,60.0,15.0,20.0,5.0,,,,,,,,,0,2,1.0,1.0,58.0,17.0,0.342874469375379,1.0,0,,,,,,,2,,,,,,,0,0.5,0.5,0,0.5,0.5
5374,2015/2016,Developres Rzeszów,BKS Bielsko-Biała,3:0,3,0,1,63,35,63,74,5,3,40,2,45,20,81,7,4,46,57,14,30,7,30,45,5,2,69,3,35,17,96,7,14,24,25,4,33,28,33,29,0,1,-29,-1,10,3,-15,0,-10,22,32,10,0.6,0.4,0.19999999999999996,0.43209876543209874,0.03125,0.40084876543209874,0.2222222222222222,0.13333333333333333,0.08888888888888888,0.047619047619047616,0.06666666666666667,-0.01904761904761905,14,15,-1,78,44,122,0.07179487179487179,0.07142857142857142,0.000366300366300365,-25,-18,-7,3,0,21.0,10.0,11.0,26.0,14.666666666666666,11.333333333333334,40.666666666666664,4.666666666666667,5.0,-0.33333333333333304,4.054054054054054,4.444444444444445,-0.39039039039039025,44,83,-39,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,0.5,0.5,0,0.5,0.5
