game_id;sezon;source;match_type;druzyna_A;druzyna_B;sety_A;sety_B;wygrana_A;A_pts_suma;A_pts_bp;A_pts_bilans;A_srv_suma;A_srv_bledy;A_srv_asy;A_rec_suma;A_rec_bledy;A_rec_poz_pct;A_rec_perf_pct;A_atk_suma;A_atk_bledy;A_atk_blok;A_atk_pkt;A_atk_skut_pct;A_blk_pkt;B_pts_suma;B_pts_bp;B_pts_bilans;B_srv_suma;B_srv_bledy;B_srv_asy;B_rec_suma;B_rec_bledy;B_rec_poz_pct;B_rec_perf_pct;B_atk_suma;B_atk_bledy;B_atk_blok;B_atk_pkt;B_atk_skut_pct;B_blk_pkt;diff_pts_suma;diff_pts_bp;diff_pts_bilans;diff_srv_suma;diff_srv_bledy;diff_srv_asy;diff_rec_suma;diff_rec_bledy;diff_rec_poz_pct;diff_rec_perf_pct;diff_atk_suma;diff_atk_bledy;diff_atk_blok;diff_atk_pkt;diff_atk_skut_pct;diff_blk_pkt
5847;2016/2017;HTML;3:2;Polski Cukier Muszynianka;Legionovia Legionowo;3;2;1;77;41;77;103;7;10;80;11;47;26;144;14;14;56;39;11;72;30;72;96;16;11;96;10;44;20;135;10;11;47;35;14;5;11;5;7;-9;-1;-16;1;3;6;9;4;3;9;4;-3
5848;2016/2017;HTML;3:1;Chemik Police;KS PAŁAC Bydgoszcz;3;1;1;77;37;77;96;6;7;70;2;41;17;121;7;11;60;50;10;65;24;65;79;9;2;90;7;42;18;122;7;10;52;43;11;12;13;12;17;-3;5;-20;-5;-1;-1;-1;0;1;8;7;-1
5849;2016/2017;HTML;3:0;Legionovia Legionowo;Polski Cukier Muszynianka;0;3;0;36;12;36;52;9;2;65;11;44;15;77;10;7;29;38;5;54;28;54;73;8;11;43;2;53;18;75;3;5;36;48;7;-18;-16;-18;-21;1;-9;22;9;-9;-3;2;7;2;-7;-10;-2
5850;2016/2017;HTML;3:1;Grot Budowlani Łódź;Developres SkyRes Rzeszów;1;3;0;58;15;58;80;11;4;85;6;47;28;125;8;8;46;37;8;71;32;71;93;8;6;69;4;51;22;148;12;8;57;39;8;-13;-17;-13;-13;3;-2;16;2;-4;6;-23;-4;0;-11;-2;0
5851;2016/2017;HTML;3:1;Tauron MKS Dąbrowa Górnicza;KSZO OSTROWIEC;3;1;1;75;37;75;98;10;5;84;4;49;34;150;15;11;55;37;15;63;27;63;94;10;4;88;5;54;43;148;10;15;48;32;11;12;10;12;4;0;1;-4;-1;-5;-9;2;5;-4;7;5;4
5852;2016/2017;HTML;3:0;Impel Wrocław;ŁKS Commercecon Łódź;3;0;1;61;26;61;76;6;4;59;1;47;20;100;9;7;45;45;12;49;13;49;67;8;1;70;4;45;32;99;7;12;41;41;7;12;13;12;9;-2;3;-11;-3;2;-12;1;2;-5;4;4;5
5853;2016/2017;HTML;3:2;Giacomini Budowlani Toruń;BKS PROFI CREDIT Bielsko-Biała;3;2;1;87;44;87;106;5;9;94;9;37;21;163;5;14;64;39;14;84;38;84;100;6;9;101;9;32;21;170;7;14;61;36;14;3;6;3;6;-1;0;-7;0;5;0;-7;-2;0;3;3;0
5854;2016/2017;HTML;3:0;Atom Trefl Sopot;Giacomini Budowlani Toruń;0;3;0;49;20;49;61;3;4;69;12;34;24;107;5;6;39;36;6;63;32;63;73;4;12;58;4;31;23;107;7;6;45;42;6;-14;-12;-14;-12;-1;-8;11;8;3;1;0;-2;0;-6;-6;0
5855;2016/2017;HTML;3:1;BKS PROFI CREDIT Bielsko-Biała;Impel Wrocław;1;3;0;49;22;49;75;11;10;80;8;40;22;108;8;12;30;28;9;75;42;75;95;15;8;64;10;34;20;113;8;9;55;49;12;-26;-20;-26;-20;-4;2;16;-2;6;2;-5;0;3;-25;-21;-3
5856;2016/2017;HTML;3:1;ŁKS Commercecon Łódź;Tauron MKS Dąbrowa Górnicza;3;1;1;76;32;76;91;11;6;89;6;38;16;164;9;18;59;36;11;70;31;70;95;6;6;80;6;45;20;149;9;11;46;31;18;6;1;6;-4;5;0;9;0;-7;-4;15;0;7;13;5;-7
